,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.6873315572738647,0.6927223801612854,0.4784366488456726,0.4919137358665466
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.1986322700977325,0.1352191418409347,0.1986322700977325,0.1373950839042663
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2029841393232345,0.1436120569705963,0.202362447977066,0.1460988521575927
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.149314284324646,0.1411714255809784,0.1486571431159973,0.1409428566694259,0.1554571390151977,0.1418000012636184
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.1531142890453338,0.1388571411371231,0.150028571486473,0.1266571432352066,0.1492571383714676,0.1261714249849319
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=1.0/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=1.0/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.3006263077259063,0.3924843370914459
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.7196765542030334,0.7021563053131104,0.4609164297580719,0.4770889580249786
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0,0.0,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2949999868869781,0.2861999869346618,0.2958999872207641,0.2863999903202057
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2958000004291534,0.2858000099658966,0.296099990606308,0.2878000140190124
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0007385524222627,0.000984736601822,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.8043209910392761,0.7956790328025818,0.7787036895751953,0.7592592835426331
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0567685589194297,0.0469432324171066,0.058770015835762,0.0465793311595916
