,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.2639999985694885,0.2534999847412109,0.2689000070095062,0.2557999789714813,0.2671999931335449,0.259799987077713
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.0,0.0,0.0002461841504555,0.000492368300911,0.0,0.0
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2745999991893768,0.2606000006198883,0.2691999971866607,0.2529999911785126
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7206790447235107,0.704321026802063,0.7202160954475403,0.7050926089286804
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7191358208656311,0.7058642506599426,0.7361111640930176,0.7202160954475403
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2689000070095062,0.2557999789714813,0.2671999931335449,0.25450000166893
